Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6054.07,72648.84,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon EC2 ,0,1541.2240000000002,18494.69,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c6gd.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (4000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
Reduced_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,0,0.00,USD,,
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,614.4000000000001,7372.80,USD,,"DT Inbound: Internet (20 TB per month), DT Outbound: US East (Ohio) (20 TB per month), DT Intra-Region: (20 TB per month), Data transfer cost (614.4000000000001)"
Reduced_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,441.65000000000003,5299.80,USD,,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2421.6,29059.20,USD,,"Storage amount (1024 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (2), Instance type (db.m6g.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Reduced_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,1035.2,12422.40,USD,,"S3 Standard storage (40280 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (), GET, SELECT, and all other requests from S3 Standard (), Data returned by S3 Select (40280 GB per month), Data scanned by S3 Select (40280 GB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,


Change: Reduced the configuration of EC2 and RDS service. Descrease Amazon EC2 instance to c6gd.4xlarge; Descrease Amazon RDS instance type to db.m6g.2xlarge; 

Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
